employee_id,name,role,record_date,prescription_volume,error_rate,patient_counseling_score,avg_wait_time_minutes
EID017,Holly Wood,Pharmacist,2024-12-13,185,0.37,63.33,5.46
EID017,Holly Wood,Pharmacist,2024-12-14,121,1.82,93.91,6.88
EID017,Holly Wood,Pharmacist,2024-12-15,80,2.18,82.66,10.82
EID017,Holly Wood,Pharmacist,2024-12-16,97,0.42,91.41,5.51
EID017,Holly Wood,Pharmacist,2024-12-17,78,3.83,65.12,12.67
EID017,Holly Wood,Pharmacist,2024-12-18,187,0.33,81.76,3.04
EID017,Holly Wood,Pharmacist,2024-12-19,166,3.16,92.19,17.43
EID017,Holly Wood,Pharmacist,2024-12-20,137,1.01,66.56,19.68
EID017,Holly Wood,Pharmacist,2024-12-21,53,3.29,87.02,14.99
EID017,Holly Wood,Pharmacist,2024-12-22,126,4.5,89.88,6.59
EID017,Holly Wood,Pharmacist,2024-12-23,146,2.93,66.54,5.01
EID017,Holly Wood,Pharmacist,2024-12-24,115,3.44,61.12,8.68
EID017,Holly Wood,Pharmacist,2024-12-25,200,1.04,97.57,19.31
EID017,Holly Wood,Pharmacist,2024-12-26,63,4.61,61.48,10.76
EID017,Holly Wood,Pharmacist,2024-12-27,192,3.94,98.62,2.59
EID017,Holly Wood,Pharmacist,2024-12-28,85,3.94,91.21,5.16
EID017,Holly Wood,Pharmacist,2024-12-29,100,4.05,69.36,16.24
EID017,Holly Wood,Pharmacist,2024-12-30,140,1.98,61.52,15.98
EID017,Holly Wood,Pharmacist,2024-12-31,59,4.54,88.89,12.61
EID018,Derek Zuniga,Pharmacist,2024-10-01,113,4.14,96.46,18.85
EID018,Derek Zuniga,Pharmacist,2024-10-02,199,1.18,95.98,8.95
EID018,Derek Zuniga,Pharmacist,2024-10-03,56,1.24,94.28,11.61
EID018,Derek Zuniga,Pharmacist,2024-10-04,55,2.84,80.32,5.95
EID018,Derek Zuniga,Pharmacist,2024-10-05,129,0.05,98.79,18.4
EID018,Derek Zuniga,Pharmacist,2024-10-06,181,1.44,88.68,18.72
EID018,Derek Zuniga,Pharmacist,2024-10-07,188,0.3,76.8,15.04
EID018,Derek Zuniga,Pharmacist,2024-10-08,58,2.39,95.44,3.21
EID018,Derek Zuniga,Pharmacist,2024-10-09,193,1.46,85.78,9.76
EID018,Derek Zuniga,Pharmacist,2024-10-10,91,3.52,90.52,3.03
EID018,Derek Zuniga,Pharmacist,2024-10-11,150,3.08,86.28,16.15
EID018,Derek Zuniga,Pharmacist,2024-10-12,79,0.99,87.69,8.44
EID018,Derek Zuniga,Pharmacist,2024-10-13,106,1.1,67.34,13.77
EID018,Derek Zuniga,Pharmacist,2024-10-14,114,2.14,91.42,7.31
EID018,Derek Zuniga,Pharmacist,2024-10-15,97,3.06,68.9,17.46
EID018,Derek Zuniga,Pharmacist,2024-10-16,141,1.7,83.43,9.69
EID018,Derek Zuniga,Pharmacist,2024-10-17,83,0.77,73.18,18.83
EID018,Derek Zuniga,Pharmacist,2024-10-18,186,2.6,92.01,9.89
EID018,Derek Zuniga,Pharmacist,2024-10-19,187,0.72,95.59,5.7
EID018,Derek Zuniga,Pharmacist,2024-10-20,124,0.61,80.21,12.85
EID018,Derek Zuniga,Pharmacist,2024-10-21,124,1.62,84.45,4.33
EID018,Derek Zuniga,Pharmacist,2024-10-22,177,2.85,84.83,11.13
EID018,Derek Zuniga,Pharmacist,2024-10-23,55,3.29,61.73,12.03
EID018,Derek Zuniga,Pharmacist,2024-10-24,66,1.29,64.01,9.19
EID018,Derek Zuniga,Pharmacist,2024-10-25,62,4.29,98.03,5.07
EID018,Derek Zuniga,Pharmacist,2024-10-26,143,3.94,67.37,13.04
EID018,Derek Zuniga,Pharmacist,2024-10-27,157,2.37,65.42,7.39
EID018,Derek Zuniga,Pharmacist,2024-10-28,104,1.88,68.22,5.35
EID018,Derek Zuniga,Pharmacist,2024-10-29,62,1.64,70.33,13.87
EID018,Derek Zuniga,Pharmacist,2024-10-30,102,1.78,98.65,12.14
EID018,Derek Zuniga,Pharmacist,2024-10-31,153,2.07,76.81,16.04
EID018,Derek Zuniga,Pharmacist,2024-11-01,149,4.95,81.14,4.32
EID018,Derek Zuniga,Pharmacist,2024-11-02,193,1.05,70.82,4.02
EID018,Derek Zuniga,Pharmacist,2024-11-03,163,2.09,67.65,5.69
EID018,Derek Zuniga,Pharmacist,2024-11-04,63,4.09,67.6,17.85
EID018,Derek Zuniga,Pharmacist,2024-11-05,192,1.68,64.43,12.36
EID018,Derek Zuniga,Pharmacist,2024-11-06,59,4.3,95.71,12.22
EID018,Derek Zuniga,Pharmacist,2024-11-07,102,0.37,99.69,16.64
EID018,Derek Zuniga,Pharmacist,2024-11-08,58,1.1,71.96,17.67
EID018,Derek Zuniga,Pharmacist,2024-11-09,192,2.92,66.68,10.11
EID018,Derek Zuniga,Pharmacist,2024-11-10,183,1.67,78.09,14.53
EID018,Derek Zuniga,Pharmacist,2024-11-11,166,0.8,64.19,5.3
EID018,Derek Zuniga,Pharmacist,2024-11-12,93,0.82,81.17,8.73
EID018,Derek Zuniga,Pharmacist,2024-11-13,176,2.06,73.67,7.81
EID018,Derek Zuniga,Pharmacist,2024-11-14,74,4.77,82.92,3.23
EID018,Derek Zuniga,Pharmacist,2024-11-15,59,1.8,73.43,5.0
EID018,Derek Zuniga,Pharmacist,2024-11-16,119,4.55,95.33,11.86
EID018,Derek Zuniga,Pharmacist,2024-11-17,105,0.26,95.17,10.63
EID018,Derek Zuniga,Pharmacist,2024-11-18,126,3.22,62.81,14.27
EID018,Derek Zuniga,Pharmacist,2024-11-19,111,0.85,96.23,6.87
EID018,Derek Zuniga,Pharmacist,2024-11-20,75,1.32,73.35,16.9
EID018,Derek Zuniga,Pharmacist,2024-11-21,173,3.63,64.93,7.57
EID018,Derek Zuniga,Pharmacist,2024-11-22,88,3.42,70.93,8.39
EID018,Derek Zuniga,Pharmacist,2024-11-23,192,3.95,86.53,2.99
EID018,Derek Zuniga,Pharmacist,2024-11-24,175,3.18,64.75,4.65
EID018,Derek Zuniga,Pharmacist,2024-11-25,76,2.69,63.24,11.14
EID018,Derek Zuniga,Pharmacist,2024-11-26,67,3.3,75.86,13.92
EID018,Derek Zuniga,Pharmacist,2024-11-27,78,0.48,81.86,11.5
EID018,Derek Zuniga,Pharmacist,2024-11-28,118,2.32,84.54,11.29
EID018,Derek Zuniga,Pharmacist,2024-11-29,159,2.35,99.85,15.51
EID018,Derek Zuniga,Pharmacist,2024-11-30,168,0.58,99.4,2.87
EID018,Derek Zuniga,Pharmacist,2024-12-01,136,1.02,69.04,8.56
EID018,Derek Zuniga,Pharmacist,2024-12-02,92,2.66,75.51,5.66
EID018,Derek Zuniga,Pharmacist,2024-12-03,70,2.93,91.05,9.97
EID018,Derek Zuniga,Pharmacist,2024-12-04,162,0.7,63.91,14.21
EID018,Derek Zuniga,Pharmacist,2024-12-05,125,1.08,69.92,19.36
EID018,Derek Zuniga,Pharmacist,2024-12-06,184,3.84,79.27,16.04
EID018,Derek Zuniga,Pharmacist,2024-12-07,54,4.31,92.38,7.76
EID018,Derek Zuniga,Pharmacist,2024-12-08,155,1.73,85.98,19.9
EID018,Derek Zuniga,Pharmacist,2024-12-09,114,2.19,66.19,14.08
EID018,Derek Zuniga,Pharmacist,2024-12-10,125,2.11,97.44,6.42
EID018,Derek Zuniga,Pharmacist,2024-12-11,152,2.38,98.85,8.33
EID018,Derek Zuniga,Pharmacist,2024-12-12,122,0.06,61.58,7.45
EID018,Derek Zuniga,Pharmacist,2024-12-13,151,3.22,75.03,2.2
EID018,Derek Zuniga,Pharmacist,2024-12-14,172,1.77,69.1,12.64
EID018,Derek Zuniga,Pharmacist,2024-12-15,69,1.49,64.19,7.29
EID018,Derek Zuniga,Pharmacist,2024-12-16,169,2.06,70.75,3.03
EID018,Derek Zuniga,Pharmacist,2024-12-17,102,2.46,67.32,17.05
EID018,Derek Zuniga,Pharmacist,2024-12-18,135,3.67,90.32,17.1
EID018,Derek Zuniga,Pharmacist,2024-12-19,52,0.65,60.7,11.78
EID018,Derek Zuniga,Pharmacist,2024-12-20,138,0.98,85.87,15.49
EID018,Derek Zuniga,Pharmacist,2024-12-21,95,3.76,98.94,10.5
EID018,Derek Zuniga,Pharmacist,2024-12-22,94,1.4,91.43,4.72
EID018,Derek Zuniga,Pharmacist,2024-12-23,152,4.41,85.11,18.76
EID018,Derek Zuniga,Pharmacist,2024-12-24,167,4.83,88.54,9.41
EID018,Derek Zuniga,Pharmacist,2024-12-25,178,2.1,79.35,5.18
EID018,Derek Zuniga,Pharmacist,2024-12-26,51,1.17,87.2,9.28
EID018,Derek Zuniga,Pharmacist,2024-12-27,94,2.88,79.63,5.03
EID018,Derek Zuniga,Pharmacist,2024-12-28,69,4.55,66.98,2.07
EID018,Derek Zuniga,Pharmacist,2024-12-29,158,1.15,98.69,11.05
EID018,Derek Zuniga,Pharmacist,2024-12-30,153,2.05,79.71,8.85
EID018,Derek Zuniga,Pharmacist,2024-12-31,98,4.57,69.66,19.07
